iter	Passed	Remaining
384	1970	588
385	1975	583
386	1979	578
387	1984	572
388	1988	567
389	1993	562
390	1998	556
391	2002	551
392	2007	546
393	2011	541
394	2016	536
395	2021	530
396	2025	525
397	2029	520
398	2034	514
399	2039	509
400	2044	504
401	2049	499
402	2054	494
403	2058	489
404	2063	483
405	2068	478
406	2072	473
407	2076	468
408	2081	463
409	2086	458
410	2091	452
411	2095	447
412	2100	442
413	2105	437
414	2109	432
415	2114	426
416	2118	421
417	2124	416
418	2128	411
419	2133	406
420	2138	401
421	2143	396
422	2147	390
423	2152	385
424	2156	380
425	2161	375
426	2165	370
427	2170	365
428	2175	360
429	2180	354
430	2185	349
431	2189	344
432	2194	339
433	2198	334
434	2203	329
435	2207	324
436	2212	319
437	2217	313
438	2222	308
439	2227	303
440	2231	298
441	2236	293
442	2240	288
443	2245	283
444	2249	278
445	2255	273
446	2261	268
447	2265	262
448	2270	257
449	2275	252
450	2280	247
451	2285	242
452	2290	237
453	2295	232
454	2299	227
455	2304	222
456	2309	217
457	2314	212
458	2320	207
459	2326	202
460	2331	197
461	2335	192
462	2340	187
463	2344	181
464	2349	176
465	2353	171
466	2358	166
467	2363	161
468	2367	156
469	2372	151
470	2376	146
471	2381	141
472	2386	136
473	2391	131
474	2396	126
475	2401	121
476	2406	116
477	2411	110
478	2415	105
479	2420	100
480	2425	95
481	2429	90
482	2433	85
483	2438	80
484	2443	75
485	2447	70
486	2452	65
487	2457	60
488	2462	55
489	2466	50
490	2471	45
491	2475	40
492	2480	35
493	2485	30
494	2489	25
495	2493	20
496	2498	15
497	2503	10
498	2507	5
499	2512	0
