iter	RMSE
0	678.6028654
1	650.8387859
2	626.4276367
3	602.0463573
4	578.3844167
5	555.9470266
6	535.1278074
7	514.9407893
8	495.9628886
9	478.5643453
10	460.7831893
11	445.4066126
12	429.5382085
13	413.6006337
14	398.7937608
15	385.2933487
16	372.5045252
17	360.3111927
18	348.631112
19	337.037872
20	326.2812178
21	316.4310969
22	307.0479322
23	297.9569694
24	289.0117861
25	281.2422308
26	273.5904827
27	266.3163022
28	259.1994333
29	252.453303
30	246.6373881
31	240.0437949
32	234.5881291
33	229.4927036
34	224.3243043
35	219.6312252
36	214.7770424
37	210.0997425
38	205.4349074
39	201.3746908
40	197.4605478
41	193.8236181
42	190.2285937
43	186.6958935
44	183.3047754
45	179.8047747
46	176.5179796
47	173.8400963
48	170.8709367
49	168.1391489
50	165.5412138
51	163.0239772
52	160.9857894
53	158.7215811
54	156.5402781
55	154.5672698
56	152.6657805
57	150.7835584
58	148.9826031
59	147.1646225
60	145.5433538
61	144.077692
62	142.5459243
63	140.9639405
64	139.5658241
65	138.2754026
66	137.03318
67	135.6673008
68	134.3707093
69	132.900158
70	131.9263899
71	130.8252603
72	129.8454147
73	128.6143075
74	127.724373
75	126.627965
76	125.6804289
77	124.7703405
78	124.0149337
79	123.2032725
80	122.6182187
81	121.6544318
82	120.7747875
83	119.9349339
84	119.3842156
85	118.6914539
86	118.1868565
87	117.5274867
88	116.9226376
89	116.3265305
90	115.7471938
91	115.1314841
92	114.5958707
93	114.0899521
94	113.3587986
95	112.9114795
96	112.324833
97	111.8025869
98	111.2369155
99	110.803736
100	110.2721254
101	109.9493699
102	109.5688599
103	109.1163529
104	108.8206314
105	108.380964
106	107.9440935
107	107.5118014
108	107.1707394
109	106.8650452
110	106.4942052
111	106.1414239
112	105.6363235
113	105.1881856
114	104.8700039
115	104.5136508
116	104.1227444
117	103.8016168
118	103.3983391
119	103.1120409
120	102.7207438
121	102.5029644
122	102.1212868
123	101.7583138
124	101.5309768
125	101.1999689
126	100.9050446
127	100.6007336
128	100.2635182
129	100.0039108
130	99.72626677
131	99.46299645
132	99.20073424
133	98.98742814
134	98.73831301
135	98.51260653
136	98.33796623
137	98.13176038
138	97.82472448
139	97.53461147
140	97.26482986
141	97.04661112
142	96.85541093
143	96.71834749
144	96.45850169
145	96.2450699
146	96.0325511
147	95.80468361
148	95.54768686
149	95.35860344
150	95.2004444
151	94.98123486
152	94.89009085
153	94.71180703
154	94.48608643
155	94.2499217
156	94.03478542
157	93.85738681
158	93.65954111
159	93.46780365
160	93.27816155
161	93.16297274
162	92.98522074
163	92.84568252
164	92.70117325
165	92.55801423
166	92.4088673
167	92.20199804
168	92.00490356
169	91.87960446
170	91.70138673
171	91.59765917
172	91.40140225
173	91.24197212
174	91.10582918
175	90.95134553
176	90.83145848
177	90.6816093
178	90.53183302
179	90.38825156
180	90.27784807
181	90.12879796
182	89.99162686
183	89.81723451
184	89.67441328
185	89.57239515
186	89.39367657
187	89.25584344
188	89.16296033
189	89.07347366
190	88.93857064
191	88.79353355
192	88.64308855
193	88.54798597
194	88.42743099
195	88.25878281
196	88.14263677
197	88.01801905
198	87.93978584
199	87.8280236
200	87.69150198
201	87.5818729
202	87.446114
203	87.31570809
204	87.19350099
205	87.07988777
206	86.99149284
207	86.88563145
208	86.80640614
209	86.68912168
210	86.58947497
211	86.45896093
212	86.35156068
213	86.22296409
214	86.12159018
215	86.02199728
216	85.90825261
217	85.74871427
218	85.62829093
219	85.51356429
220	85.42720989
221	85.29139882
222	85.15111587
223	85.06074058
224	84.95911396
225	84.89581518
226	84.80552459
227	84.70283541
228	84.59945969
229	84.51703936
230	84.40327614
231	84.29777112
232	84.17784354
233	84.03738787
234	83.96694589
235	83.84176772
236	83.73594441
237	83.61963522
238	83.53868614
239	83.46049424
240	83.35851835
241	83.26798467
242	83.15535103
243	83.06680268
244	82.97041092
245	82.92188001
246	82.83025083
247	82.75616023
248	82.66844917
249	82.59102306
250	82.5240604
251	82.43845087
252	82.35911885
253	82.2767095
254	82.19967548
255	82.11128872
256	82.02628134
257	81.94912499
258	81.87385727
259	81.78404052
260	81.71066667
261	81.60282348
262	81.54082853
263	81.47058648
264	81.38997623
265	81.30796837
266	81.23895553
267	81.16040632
268	81.10354871
269	81.02136436
270	80.97703887
271	80.91208001
272	80.83758118
273	80.76897679
274	80.72422649
275	80.65770653
276	80.55049023
277	80.43865592
278	80.39094931
279	80.32691042
280	80.27767563
281	80.20373797
282	80.13662902
283	80.08232975
284	80.0063062
285	79.93598954
286	79.87428724
287	79.81373925
288	79.75058709
289	79.67434667
290	79.59289761
291	79.49604897
292	79.43176462
293	79.39540236
294	79.34759371
295	79.29677893
296	79.20244044
297	79.13108962
298	79.07820721
299	78.99437695
300	78.92208801
301	78.86359109
302	78.81435134
303	78.74568398
304	78.70475202
305	78.63971255
306	78.58487328
307	78.52459445
308	78.43502974
309	78.40494
310	78.33644755
311	78.29715597
312	78.23910611
313	78.20442153
314	78.15992842
315	78.1244634
316	78.05741297
317	78.01069826
318	77.96377542
319	77.88574019
320	77.82501054
321	77.77966754
322	77.74288407
323	77.66757758
324	77.64076154
325	77.58994915
326	77.53098651
327	77.48306556
328	77.43669422
329	77.38996977
330	77.3314727
331	77.27243649
332	77.21264952
333	77.16619197
334	77.09840389
335	77.06171289
336	77.02745008
337	76.98894121
338	76.95391122
339	76.91410246
340	76.8497067
341	76.80055496
342	76.73550421
343	76.68427278
344	76.64969316
345	76.60840458
346	76.57468759
347	76.55055841
348	76.49918065
349	76.44428396
350	76.41257141
351	76.36704372
352	76.34338901
353	76.30538037
354	76.27647664
355	76.21925127
356	76.18848332
357	76.15176606
358	76.11594256
359	76.06973249
360	76.02669867
361	75.98217908
362	75.91648686
363	75.85277962
364	75.81642932
365	75.77435831
366	75.74045561
367	75.69886046
368	75.65580782
369	75.61564258
370	75.58079119
371	75.56311552
372	75.53465151
373	75.49643726
374	75.46685803
375	75.43306997
376	75.38556069
377	75.32713536
378	75.26781837
379	75.24295767
380	75.20016809
381	75.16775502
382	75.12833515
383	75.10393148
384	75.0578455
385	75.02269378
386	74.98696262
387	74.93492502
388	74.88535676
389	74.83860814
390	74.783163
391	74.75629151
392	74.71737711
393	74.7002759
394	74.64218515
395	74.60827689
396	74.58323912
397	74.52832164
398	74.49411353
399	74.46922704
400	74.43032756
401	74.38871717
402	74.33972158
403	74.30116101
404	74.26887399
405	74.24389415
406	74.21739226
407	74.19816292
408	74.17554751
409	74.1431704
410	74.10747843
411	74.07536636
412	74.04456464
413	73.99352331
414	73.96499545
415	73.9391024
416	73.92568337
417	73.90639182
418	73.85402337
419	73.84367293
420	73.81248612
421	73.7749257
422	73.75385146
423	73.71644561
424	73.68925729
425	73.66353296
426	73.6462508
427	73.61409735
428	73.57358675
429	73.55730239
430	73.53320992
431	73.49149156
432	73.45018363
433	73.42069566
434	73.3816341
435	73.34562205
436	73.3041764
437	73.27451847
438	73.25301437
439	73.21717526
440	73.19169162
441	73.16963039
442	73.13033347
443	73.10418166
444	73.08482084
445	73.05413394
446	73.03709431
447	73.00833604
448	72.99091708
449	72.95428079
450	72.93667539
451	72.91849425
452	72.88300422
453	72.85855874
454	72.8305052
455	72.813414
456	72.76164907
457	72.74900102
458	72.72589018
459	72.69978168
460	72.6800466
461	72.6516178
462	72.63016399
463	72.61163786
464	72.58599933
465	72.56110863
466	72.53682514
467	72.50416597
468	72.47412595
469	72.44229808
470	72.42780821
471	72.40247599
472	72.3739622
473	72.34510412
474	72.2874475
475	72.27555281
476	72.23597766
477	72.19707916
478	72.17752249
479	72.14155203
480	72.11701963
481	72.07258535
482	72.05573372
483	72.02570328
484	72.00643893
485	71.98079789
486	71.9653707
487	71.94118378
488	71.91944731
489	71.90060151
490	71.87576334
491	71.85068285
492	71.82277376
493	71.8028176
494	71.78424327
495	71.76093139
496	71.73824101
497	71.71766734
498	71.69646801
499	71.67680978
